publisherLabel,countryLabel,count
Del Rey Books,,227
Tor Books,США,192
Ace Books,США,184
Doubleday,США,136
DAW Books,США,123
Ballantine Books,США,101
Experimenter Publishing Company,США,93
HarperCollins,США,88
Bantam Spectra,США,83
Scholastic Corporation,США,77
Baen Books,США,76
Victor Gollancz,Великобритания,74
Pocket Books,США,65
Bantam Books,США,63
Simon & Schuster,США,59
Berkley Books,США,51
Gnome Press,США,49
BBC Books,Великобритания,46
G. P. Putnam's Sons,США,44
Arkham House,США,42
Random House,США,41
Orbit Books,,41
St. Martin's Press,США,39
Fantasy Press,США,39
Macmillan Publishers,Великобритания,35
Dell Publishing,США,29
Hachette Book Group,США,28
Harcourt,США,28
New American Library,США,28
Faber and Faber,Великобритания,27
"Fantasy Publishing Company, Inc.",,26
Charles Scribner's Sons,США,21
Alfred A. Knopf,США,21
Avon Publications,США,20
Wydawnictwo Literackie,Польша,19
Dennis Dobson,,19
Viking Press,США,18
Roc Books,США,17
Harper,США,17
Jonathan Cape,Великобритания,16
Sidgwick & Jackson,Великобритания,16
Hodder & Stoughton,Великобритания,14
Hetzel éds,Франция,13
Penguin Books,Великобритания,13
Penguin Group,Великобритания,13
Powergraph,Польша,13
"Little, Brown and Company",США,12
Orion Publishing Group,Великобритания,12
Arbor House,США,12
Harlequin Enterprises,Канада,11
William Morrow and Company,США,11
Skylark,,11
"Farrar, Straus and Giroux",США,10
Methuen Publishing,Великобритания,10
Pan Books,Великобритания,10
Gold Medal Books,США,10
Heinemann,Великобритания,10
Jove Books,США,10
"Donald M. Grant, Publisher",США,10
Shasta Publishers,,10
Astounding Science Fiction,,10
Wydawnictwo Iskry,,10
A. C. McClurg,США,9
Avalon Books,США,9
Subterranean Press,США,9
Panther Books,,9
Prime Press,,9
Michael Joseph,,9
Frank A. Munsey Company,США,8
A.W. Bruna Uitgevers,Нидерланды,8
Atheneum Books,США,8
Constable & Robinson,Великобритания,8
Dutton,США,8
Timescape Books,,8
Houghton Mifflin Harcourt,США,7
Virgin Books,Великобритания,7
Молодая гвардия,Россия,7
Crown Publishing Group,США,7
NESFA Press,США,7
Czytelnik,Польша,7
Синтёся,Япония,6
Деноэль,Франция,6
Night Shade Books,США,6
Руперт Харт-Дэвис,,6
Hamish Hamilton,Великобритания,5
Коданся,Япония,5
Albin Michel,Франция,5
Fawcett Publications,США,5
АСТ,Россия,5
Allison & Busby,Великобритания,5
Dial Press,США,5
Grant-Hadley Enterprises,США,5
Grand Central Publishing,США,5
Editura Tineretului,Румыния,5
SuperNOWA,,5
Детская литература,,5
Harper Prism,,5
Nasza Księgarnia,,5
Phantasia Press,,5
Hyperion Books,США,4
Ediciones Minotauro,Испания,4
Palladium Books,США,4
Gale,США,4
Penguin Random House,США,4
Henry Holt and Company,США,4
Vintage Books,США,4
Chatto & Windus,Великобритания,4
Q4037931,США,4
Puffin Books,Великобритания,4
Macmillan Publishers,США,4
Seven Stories Press,США,4
Solaris Books,Великобритания,4
Transworld Publishers,Великобритания,4
Disney Publishing Worldwide,США,4
Vanguard Press,США,4
Villard,США,4
Mad Norwegian Press,США,4
Galaxy Science Fiction,,4
Street & Smith,,4
Collier Books,,4
Fedogan & Bremer,,4
New English Library,,4
Orchard Books,,4
Krajowa Agencja Wydawnicza,,4
Q18423522,,4
Holt McDougal,,4
Allen & Unwin,Австралия,3
Warner Media Group,США,3
Hutchinson,Великобритания,3
Pantheon Books,США,3
Bloomsbury Publishing,Великобритания,3
Fleuve noir,Франция,3
Тюокоронся,Япония,3
Kadokawa Shoten,Япония,3
Thomas Nelson and Sons,Великобритания,3
Thomas Nelson and Sons,США,3
Disney Press,США,3
Эксмо,Россия,3
Emecé Editores,Аргентина,3
Chilton Company,США,3
Kinneret Zmora-Bitan Dvir,Израиль,3
Lancer Books,США,3
PS Publishing,Великобритания,3
Tachyon Publications,США,3
Titan Books,Великобритания,3
Underwood–Miller,США,3
Walker Books,Великобритания,3
Wildside Press,США,3
Asimov’s Science Fiction,,3
Доналд Э. Уоллхайм,,3
Mycroft & Moran,,3
Advent:Publishers,,3
Belmont Books,,3
Mark V. Ziesing,,3
Pyr,,3
Tom Doherty,,3
Уильям Морроу,,3
Tordotcom Publishing,,3
Bukune,Индонезия,2
Scherl Verlag,Германия,2
Arnoldo Mondadori Editore,Италия,2
Издательство Оксфордского университета,Великобритания,2
Tokyopop,США,2
Editura Albatros,Румыния,2
Viz Media,США,2
Nemira Publishing House,Румыния,2
W. W. Norton & Company,США,2
White Wolf Publishing,США,2
Робер Лаффон,Франция,2
Keter Publishing House,Израиль,2
Keter Publishing House,Государство Палестина,2
Gyldendal Norsk Forlag,Норвегия,2
Grosset & Dunlap,США,2
WSOY,Финляндия,2
Grove Press,США,2
Perseus Books Group,США,2
Angry Robot,Великобритания,2
Arena Publishing Co.,США,2
Bobbs-Merrill Company,США,2
Canaveral Press,США,2
Candlewick Press,США,2
David Fickling Books,Великобритания,2
Four Walls Eight Windows,США,2
Gregg Press,США,2
Hades Publications,Канада,2
Harvill Secker,Великобритания,2
Ediciones Toray,Испания,2
Opus Press,Израиль,2
Modan Publishing House,Израиль,2
Quirk Books,США,2
Rinehart & Company,США,2
Sceptre,Великобритания,2
Small Beer Press,США,2
Sphere Books,Великобритания,2
University of Queensland Press,Австралия,2
Hayakawa Publishing,Япония,2
J. B. Lippincott & Co.,США,2
Robert Hale and Company,Великобритания,2
Ганун,Азербайджан,2
Nelson Doubleday,,2
Presses Pocket,,2
Black Flame,,2
DH Press,,2
Grafton,,2
Grove Atlantic,,2
Plaza & Janés,,2
James Frenkel,,2
Per Aspera Press,,2
Pulphouse Publishing,,2
Thomas Congdon,,2
Wydawnictwo Poznańskie,,2
Q12744359,,2
WordFire Press,,2
Издательство «Силезия»,,2
Margaret K. McElderry Books,,2
McGraw Hill Book Company,США,1
HighBridge,США,1
Osgoode Media,США,1
Maiatz (publisher),Франция,1
George Newnes Ltd,Великобритания,1
The Women's Press,Великобритания,1
TO Comix Press,Канада,1
Idea Publication,Китай,1
Q108101752,Испания,1
Hemelein Publications,США,1
Rural Publishing Corporation,США,1
Al Hadatha,Ливан,1
Q126327059,США,1
Q131810437,Индонезия,1
The Story-Press Corporation,США,1
The Walt Disney Company,США,1
Партия Уэльса,Великобритания,1
PM Press,США,1
Галлимар,Франция,1
Минюи,Франция,1
Компания Асахи-симбун,Япония,1
Американский институт аэронавтики и астронавтики,США,1
Ad Astra,Венгрия,1
Arena,Германия,1
Rowohlt Verlag,Германия,1
Elsevier,Нидерланды,1
Kiepenheuer & Witsch,Германия,1
Blanvalet,Германия,1
Longman,Великобритания,1
Goldmann,Германия,1
Schocken Books,США,1
Schocken Books,Израиль,1
Schocken Books,Государство Палестина,1
Chaosium,США,1
Deutsche Verlags-Anstalt,Германия,1
Джон Мюррей,Великобритания,1
Paulist Fathers,США,1
Kobunsha,Япония,1
Meulenhoff,Нидерланды,1
Routledge,Великобритания,1
Sanoma,Финляндия,1
Q1616109,Нидерланды,1
Heyne Verlag,Германия,1
Hogarth Press,Великобритания,1
Bridge Publications,США,1
Seven Seas Entertainment,США,1
Планета,Испания,1
The Chicken House,Великобритания,1
Мир,Россия,1
Новый мир,Россия,1
Melantrich,Чехия,1
Otava,Финляндия,1
Western Publishing,США,1
Фаяр,Франция,1
Am Oved,Израиль,1
Black Library,Великобритания,1
Cappelen Damm,Норвегия,1
David McKay Publications,США,1
Disney Editions,США,1
Fondo de Cultura Económica,Мексика,1
Фламмарион,Франция,1
Le Bélial',Франция,1
Ohta Publishing,Япония,1
Presses de la Cité,Франция,1
Seix i Barral,Испания,1
Éditions Édilivre,Франция,1
Delos Books,Италия,1
Garzanti,Италия,1
McSweeney's,США,1
Vallecchi,Италия,1
Советский писатель,Россия,1
Aladdin Paperbacks,США,1
Andrews McMeel Publishing,США,1
Workman Publishing Company,США,1
Arsenal Pulp Press,Канада,1
Ash-Tree Press,Канада,1
Bantam Press,Великобритания,1
Boardman Books,Великобритания,1
CLÀR,Великобритания,1
Canongate Books,Великобритания,1
Cassell,Великобритания,1
Cemetery Dance Publications,США,1
Charles H. Kerr Publishing Company,США,1
Chronicle Books,США,1
Coronet Books,Великобритания,1
Digital Manga,США,1
"Dodd, Mead and Company",США,1
Easton Press,США,1
The Mainichi Newspapers Co.,Япония,1
Tyndale House,США,1
Fabryka Słów,Польша,1
Fiction Collective Two,США,1
Fremantle Press,Австралия,1
Harmony Books,США,1
Harper Perennial,США,1
Grupo SM,Испания,1
Kensington Books,США,1
Издательство Ливерпульского университета,Великобритания,1
Mariner Books,США,1
Yedioth Books,Израиль,1
McClelland & Stewart,Канада,1
Mira Books,Канада,1
Mkuki na Nyota,Танзания,1
Mulholland Books,Великобритания,1
Pendragon Press,США,1
Philomel Books,США,1
Plume,США,1
Prime Books,США,1
Quercus,Великобритания,1
RE/Search,США,1
Red Deer Press,Канада,1
Running Press,США,1
The Donning Company,США,1
Feminist Press,США,1
The Overlook Press,США,1
Three Rivers Press,США,1
Издательство Миннесотского университета,США,1
University of Wisconsin Press,США,1
William Collins Sons & Co Ltd,Великобритания,1
"Albatros, nakladatelství pro děti a mládež",Чехия,1
Kadokawa Haruki Corporation,Япония,1
Polskie Towarzystwo Wydawców Książek,Польша,1
Веселка,Украина,1
Q12401604,Испания,1
Gwasg Gwynedd,Великобритания,1
Curtis Publishing Company,США,1
Headline Publishing Group,Великобритания,1
CreateSpace.com,США,1
Kindle Direct Publishing,США,1
Eos Press,США,1
Lethe Press,США,1
Издательство Южного Иллинойского университета,США,1
McGraw-Hill Education,США,1
Open Road Integrated Media,США,1
Debolsillo,Испания,1
"Издательство ""Жульяр""",,1
Николай Трюбнер,,1
Робинсон,,1
туз,,1
Futura,,1
Бруна,,1
Hillman Periodicals,,1
Вокруг света,,1
спектр,,1
La Plume,,1
Super Dash Bunko,,1
Weird Tales,,1
Джулио Эйнауди,,1
Foreign Languages Publishing House,,1
самостоятельная публикация,,1
Le Livre de Poche,,1
Henry Holt,,1
Джордж Ньюнс,,1
The Royal Magazine,,1
Verlag Das Neue Berlin,,1
Unknown,,1
Жюль Мишель,,1
Au Diable Vauvert,,1
Bragelonne,,1
New Worlds,,1
J'ai Lu,,1
Jean-Marc Lofficier,,1
Q3213929,,1
Présence du futur,,1
Robert Laffont,,1
JC Lattès,,1
R. Bemporad & figlio,,1
Ad Marginem,,1
Альфа-книга,,1
Ведза Повшехна,,1
Госиздат,,1
Знание,,1
Знание — сила,,1
Оленёнок,,1
Правда,,1
Художественная литература,,1
American Book Company,,1
Baen Ebooks,,1
Dragon Moon Press,,1
Editorial Losada,,1
Ernest Hecht,,1
FiXT,,1
Forerunner,,1
Фредерик Стокс,,1
Golden Gryphon Press,,1
Q5818728,,1
Incunabula,,1
Miraguano Ediciones,,1
J. M. Dent,,1
Джон Лэйн,,1
Mercat Press,,1
Mercury Publications,,1
Orb Books,,1
Orbit Publications,,1
Peter F. Collier,,1
Popular Library,,1
The Mercury Press,,1
Гранада,,1
Арес,,1
фламинго,,1
Альфред Абрахам Кнопф-старший,,1
http://www.wikidata.org/.well-known/genid/eefb98ad985cc71bf2c29596d4c0cb2d,,1
http://www.wikidata.org/.well-known/genid/6d707a3296da3f005e91804adc0cb7a2,,1
Winston Science Fiction,,1
Wydawnictwo Ministerstwa Obrony Narodowej,,1
Wydawnictwo Dolnośląskie,,1
Синтё Бунко,,1
Instytut Wydawniczy Latarnik,,1
Ксенжка и Видза,,1
Like Publishing,,1
Target Books,,1
Q12133953,,1
Q12724322,,1
Xlibris,,1
Q15881724,,1
Pocket Jeunesse,,1
Harper & Brothers,,1
Государственное издательство РСФСР,,1
Insight Editions,,1
Mulholland Books,,1
Средне-Уральское книжное издательство,,1
Spinifex Press,,1
Olympia,,1
Davis Publications Inc,,1
Saga Press,,1
HarperVoyager,,1
Editorial Almadía,,1
CAEZIK SF & Fantasy,,1
Yale Publishing Association,,1
Herbert Jenkins Ltd.,,1
Hanover Square Press,,1
Q132189069,,1
http://www.wikidata.org/.well-known/genid/88bad53bea830a4ad334d73e7c9e2f7c,,1
