bookQID,bookLabel,authorLabel,publisherLabel,countryLabel,year,genreLabel,pageCount,languageLabel,literaryMovementLabel
Q137211943,The Zepherous Chronicles Episode II: Cantera,Z.N. Cruz,Westwind | Connors Publishing,,2026,,,американский вариант английского языка,
Q133859185,Isles of the Emberdark,Брендон Сандерсон,Dragonsteel Entertainment,США,2025,,,английский язык,
Q134276191,The Rose Field,Филип Пулман,David Fickling Books,Великобритания,2025,,,английский язык,
Q130747286,A Crane Among Wolves,June Hur,Feiwel and Friends,,2024,,,,
Q130731650,Ghostsmith,Nicki Pau Preto,Margaret K. McElderry Books,,2024,,,,
Q134396141,The Millicent Quibb School of Etiquette for Young Ladies of Mad Science,Кейт Маккиннон,"Little, Brown and Company",США,2024,,,,
Q124646769,The world-famous Nine,Ben Guterson,"Little, Brown and Company",США,2024,,,английский язык,
Q136406433,A Song For Nightfall,Alexander Linton,Alexander Linton,,2023,,,английский язык,
Q130731629,Bonesmith,Nicki Pau Preto,Margaret K. McElderry Books,,2023,,,,
Q130757888,Consort of Fire,Kit Rocha,Montlake,,2023,,,,
Q117600055,Dazzling,Chikodili Emelumadu,The Overlook Press,США,2023,,,английский язык,
Q125174577,Emily Wilde's Encyclopaedia of Faeries,Heather M. Fawcett,Del Rey Books,,2023,,,английский язык,
Q117050872,Murtagh,Кристофер Паолини,Alfred A. Knopf,США,2023,,,английский язык,
Q122834958,The Adventures of Amina al-Sirafi,Шеннон Чакраборти,HarperVoyager,,2023,,,английский язык,
Q124171334,The Belvie Saga,Tore Mangseth,Calidris,,2023,,,букмол,
Q120134887,The Chalice of the Gods,Рик Риордан,Disney Publishing Worldwide,США,2023,,,английский язык,
Q125599452,The Legacy of Yangchen,F. C. Yee,Amulet Books,,2023,,336,английский язык,
Q131339653,The Mountain of Souls,Marcus Lee,Kindle Direct Publishing,США,2023,,,английский язык,
Q124635904,Threads that bind,Kika Hatzopoulou,Razorbill,США,2023,,,английский язык,
Q124525768,Warrior of the Wind,Suyi Davies Okungbowa,Hachette Book Group,США,2023,,,,
Q119857670,Q119857670,Radek Rak,Powergraph,Польша,2022,,,польский язык,
Q131339602,A Tale of Love and Cinders,Finn Aspenson,Kindle Direct Publishing,США,2022,,453,английский язык,
Q123227895,Crowbones,Anne Bishop,Ace Books,США,2022,,,английский язык,
Q130747162,One Dark Window,Rachel Gillig,Orbit Books,,2022,,,,
Q131338807,The Child of Stars,Finn Aspenson,Kindle Direct Publishing,США,2022,,443,английский язык,
Q111487650,The Dawn of Yangchen,F. C. Yee,Amulet Books,,2022,,336,английский язык,
Q115682963,The Very Secret Society of Irregular Witches,Sangu Mandanna,Berkley Books,США,2022,,,английский язык,
Q114993385,"No Gods, No Monsters",Cadwell Turnbull,Blackwell Publishing,Великобритания,2021,,,английский язык,
Q106475086,Peaces,Хелен Ойейеми,Riverhead Books,США,2021,,,английский язык,
Q109392397,Soulstar,C. L. Polk,Tor Books,США,2021,,,английский язык,
Q108819577,The Last Graduate,Наоми Новик,Del Rey Books,,2021,,,английский язык,
Q106630533,Какие большие зубки,Rose Szabo,"Farrar, Straus and Giroux",США,2021,,,английский язык,
Q109353738,Мистер Невозможность,Мэгги Стивотер,Scholastic Corporation,США,2021,,,американский вариант английского языка,
Q107392556,Рыцарь Янка и королевна Милана,"Грушецкий, Олег Леонидович",Четыре четверти,,2021,,,белорусский язык,
Q105667361,Q105667361,Morgan of Glencoe,Q2823766,,2020,,,французский язык,
Q97226770,Q97226770,различные авторы,Q108101752,Испания,2020,,,Галисийско-астурийский язык,
Q97226770,Q97226770,различные авторы,Q108101752,Испания,2020,,,астурийский язык,
Q97226770,Q97226770,различные авторы,Q108101752,Испания,2020,,,испанский язык,
Q104190017,A Deadly Education,Наоми Новик,Del Rey Books,,2020,,,английский язык,
Q111170068,A Song of Wraiths and Ruin,Roseanne A. Brown,HarperCollins,США,2020,,,английский язык,
Q130731579,Heart of Flames,Nicki Pau Preto,Simon Pulse,,2020,,,,
Q116965697,Hollow Empire,Sam Hawke,Tordotcom Publishing,,2020,,,английский язык,
Q74872886,Lent,Джо Уолтон,Tor Books,США,2020,,,английский язык,
Q107366105,Shorefall,Роберт Джексон Беннетт,Penguin Random House,США,2020,,,английский язык,
Q109391215,Stormsong,C. L. Polk,Tor Books,США,2020,,,английский язык,
Q115477961,The Atlas Six,Olivie Blake,Tor Books,США,2020,,416,английский язык,
Q115477961,The Atlas Six,Olivie Blake,самостоятельная публикация,,2020,,416,английский язык,
Q103623505,The Bard's Blade,Brian D. Anderson,Tor Books,США,2020,,432,английский язык,
Q107404757,The Invisible Life of Addie LaRue,Виктория Шваб,Tor Books,США,2020,,448,английский язык,
Q104599593,The Missing Prince,Джон Флэнеган,Penguin Books,Великобритания,2020,,,английский язык,
Q99472092,The Orphans of Raspay,Лоис Макмастер Буджолд,Subterranean Press,США,2020,,,английский язык,
Q109077134,The Physicians of Vilnoc,Лоис Макмастер Буджолд,Subterranean Press,США,2020,,,английский язык,
Q106652423,Tristan Strong Destroys the World,Kwame Mbalia,Hachette,Франция,2020,,,английский язык,
Q102036136,Золотая цепь,Кассандра Клэр,Simon & Schuster,США,2020,,,английский язык,
Q130753629,Небо после бури,Sabaa Tahir,Razorbill,США,2020,,,,
Q106814534,Полночная библиотека,Мэтт Хейг,Viking Press,США,2020,,,английский язык,
Q1052268,Солнце полуночи,Стефани Майер,"Little, Brown and Company",США,2020,,,английский язык,
Q107016738,Школа Добра и Зла. Единственный истинный король,Соман Чайнани,HarperCollins,США,2020,,,английский язык,
Q130731575,Crown of Feathers,Nicki Pau Preto,Margaret K. McElderry Books,,2019,,,,
Q130731575,Crown of Feathers,Nicki Pau Preto,Simon Pulse,,2019,,,,
Q110275795,Empire of Wild,Cherie Dimaline,Random House of Canada,,2019,,,английский язык,
Q126687139,Find Me,Тахира Мафи,HarperCollins UK,Великобритания,2019,,,английский язык,
Q77430126,Gods of Jade and Shadow,Silvia Moreno-Garcia,Del Rey Books,,2019,,,английский язык,
Q106085440,Gwendy's Magic Feather,Ричард Чизмар,Cemetery Dance Publications,США,2019,,,английский язык,
Q105658408,In the Shadow of Paris,Morgan of Glencoe,Q2823766,,2019,,435,французский язык,
Q130404895,Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle: Episode Freya,Фудзино Омори,GA Bunko,,2019,,,японский язык,
Q74872886,Lent,Джо Уолтон,Tor Books,США,2019,,,английский язык,
Q101206320,The Deep,Rivers Solomon,Gallery Press,,2019,,,английский язык,
Q101206320,The Deep,Давид Диггс,Gallery Press,,2019,,,английский язык,
Q101206320,The Deep,Rivers Solomon,Saga Press,,2019,,,английский язык,
Q101206320,The Deep,Давид Диггс,Saga Press,,2019,,,английский язык,
Q104865008,The Haunting of Tram Car 015,Ф. Джели Кларк,Tordotcom Publishing,,2019,,,английский язык,
Q99472092,The Orphans of Raspay,Лоис Макмастер Буджолд,Subterranean Press,США,2019,,,английский язык,
Q65042675,The Priory of the Orange Tree,Samantha Shannon,Bloomsbury Publishing,Великобритания,2019,,,английский язык,
Q62699321,The Prisoner of Limnos,Лоис Макмастер Буджолд,Subterranean Press,США,2019,,,английский язык,
Q93552114,The Ten Thousand Doors of January,Alix E. Harrow,Orbit Books,,2019,,,английский язык,
Q133838388,The Trans Space Octopus Congregation: Stories,Боги Такач,Lethe Press,США,2019,,,английский язык,
Q103960880,The Vale : Beyond the Vale,Brian D. Anderson,Brian D. Anderson,,2019,,398,английский язык,
Q104835609,Tristan Strong Punches a Hole in the Sky,Kwame Mbalia,Hyperion Books,США,2019,,,английский язык,
Q131183790,Weathering With You,Макото Синкай,Kadokawa Sneaker Bunko,,2019,,,японский язык,
Q63098806,Wild Country,Anne Bishop,Ace Books,США,2019,,,английский язык,
Q102036200,Король шрамов,Ли Бардуго,импринт,,2019,,,английский язык,
Q42306032,Тайное содружество,Филип Пулман,David Fickling Books,Великобритания,2019,,,английский язык,
Q53152820,Children of Blood and Bone,Tomi Adeyemi,Henry Holt and Company,США,2018,,,английский язык,
Q116966504,City of Lies,Sam Hawke,Tordotcom Publishing,,2018,,,,
Q123358362,Danielle Cain,Margaret Killjoy,Tordotcom Publishing,,2018,,,,
Q60862412,Duel At Araluen,Джон Флэнеган,Random House,США,2018,,,английский язык,
Q54917502,Lake Silence,Anne Bishop,Ace Books,США,2018,,,английский язык,
Q62606565,Mira's Last Dance,Лоис Макмастер Буджолд,Subterranean Press,США,2018,,,английский язык,
Q56281235,The Red Fox Clan,Джон Флэнеган,Random House,США,2018,,,английский язык,
Q103959970,The Vale : Behind the Vale,Brian D. Anderson,Brian D. Anderson,,2018,,326,английский язык,
Q60754469,"Вилка, ведьма и дракон",Кристофер Паолини,Penguin Random House,США,2018,,,английский язык,
Q47008389,Жестокий принц,Холли Блэк,"Little, Brown and Company",США,2018,,,английский язык,
Q54488394,Испытания Аполлона. Горящий лабиринт,Рик Риордан,Disney Publishing Worldwide,США,2018,,,английский язык,
Q63165023,Каждая мёртвая мечта,Роберт М. Вегнер,Powergraph,Польша,2018,,,польский язык,
Q109289813,Кровавая Роза,Nicholas Eames,Orbit Books,,2018,,,английский язык,
Q102070055,Akata Warrior,Ннеди Окорафор,Viking Press,США,2017,,,английский язык,
Q123358362,Danielle Cain,Margaret Killjoy,Tordotcom Publishing,,2017,,,,
Q103969195,Dragonbane,Brian D. Anderson,Brian D. Anderson,,2017,,388,английский язык,
Q104007861,Dragonvein Book Five,Brian D. Anderson,Brian D. Anderson,,2017,,,английский язык,
Q102176845,Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle: Episode Ryū,Фудзино Омори,GA Bunko,,2017,,,японский язык,
Q62606565,Mira's Last Dance,Лоис Макмастер Буджолд,Subterranean Press,США,2017,,,английский язык,
Q103968597,Sands of Darkness,Brian D. Anderson,Brian D. Anderson,,2017,,353,английский язык,
Q65053992,The Black Tides of Heaven,Neon Yang,Tordotcom Publishing,,2017,,,английский язык,
Q62699321,The Prisoner of Limnos,Лоис Макмастер Буджолд,Subterranean Press,США,2017,,,английский язык,
Q28753387,Vallista,Стивен Браст,Tor Books,США,2017,,,английский язык,
Q48807609,Грехи империи,Brian McClellan,Orbit Books,,2017,,,английский язык,
Q29646954,Испытания Аполлона. Тёмное пророчество,Рик Риордан,Disney Publishing Worldwide,США,2017,,,американский вариант английского языка,
Q29646954,Испытания Аполлона. Тёмное пророчество,Рик Риордан,Disney Publishing Worldwide,США,2017,,,английский язык,
Q47411206,Корабль мертвецов,Рик Риордан,Disney Publishing Worldwide,США,2017,,,английский язык,
Q60978570,Короли Жути,Nicholas Eames,Orbit Books,,2017,,,английский язык,
Q76548367,Подменыш,Виктор Лаваль,Spiegel & Grau,США,2017,,,английский язык,
Q42851399,Прекрасная дикарка,Филип Пулман,David Fickling Books,Великобритания,2017,,,английский язык,
Q28312032,"Сердце того, что было утеряно",Тэд Уильямс,DAW Books,США,2017,,,английский язык,
Q28753359,Сыновья Дракона,Джордж Р. Р. Мартин,Bantam Spectra,США,2017,,,английский язык,
Q28836534,Убийство командора,Харуки Мураками,Синтёся,Япония,2017,,,японский язык,
Q117811126,Q117811126,Dewi Lestari,Bentang Pustaka,,2016,,724,индонезийский язык,
Q27536656,Alcatraz Versus the Dark Talent,Брендон Сандерсон,Tor Books,США,2016,,,английский язык,
Q106830005,Chapel of Ease,Alex Bledsoe,Tor Books,США,2016,,,английский язык,
Q30004969,Every Heart a Doorway,Шонан Макгуайр,Tordotcom Publishing,,2016,,,английский язык,
Q23013618,Games Wizards Play,Диана Дуэйн,Houghton Mifflin Harcourt,США,2016,,,английский язык,
Q105658408,In the Shadow of Paris,Morgan of Glencoe,Q2823766,,2016,,435,французский язык,
Q28064884,Klątwa dziewiątych urodzin,Marcin Szczygielski,Instytut Wydawniczy Latarnik,,2016,,,польский язык,
Q47090630,Las cenizas del Juramento,Exequiel Monge,Penguin Random House,США,2016,,,испанский язык,
Q27917009,Necessity,Джо Уолтон,Tor Books,США,2016,,,английский язык,
Q23762912,Outlaws of Time: The Legend of Sam Miracle,N. D. Wilson,HarperCollins,США,2016,,,английский язык,
Q93614033,Penric and the Shaman,Лоис Макмастер Буджолд,Subterranean Press,США,2016,,,английский язык,
Q106571679,Star Wars: Before the Awakening,Грег Рука,Disney Editions,США,2016,,240,английский язык,
Q106571679,Star Wars: Before the Awakening,Грег Рука,Pocket Jeunesse,,2016,,240,английский язык,
Q125475657,Survivors' Club,Лорен Бьюкес,Amazon Kindle,,2016,,,английский язык,
Q28859240,The Battle of Hackham Heath,Джон Флэнеган,Random House,США,2016,,,английский язык,
Q28859239,The Ghostfaces,Джон Флэнеган,Random House,США,2016,,,английский язык,
Q103968291,The Scepter of Xarbaal,Brian D. Anderson,Brian D. Anderson,,2016,,,английский язык,
Q105083380,The Swan Riders,Erin Bow,Margaret K. McElderry Books,,2016,,,английский язык,
Q21707281,Браслеты скорби,Брендон Сандерсон,Tor Books,США,2016,,448,английский язык,
Q77808986,Гарри Поттер и Проклятое дитя,Джон Тиффани,"Little, Brown and Company",США,2016,,328,английский язык,
Q77808986,Гарри Поттер и Проклятое дитя,Джек Торн,"Little, Brown and Company",США,2016,,328,английский язык,
Q77808986,Гарри Поттер и Проклятое дитя,Джоан Роулинг,"Little, Brown and Company",США,2016,,328,английский язык,
Q101987239,Королевство гнева и тумана,Sarah J. Maas,Bloomsbury Publishing,Великобритания,2016,,,английский язык,
Q29830040,Мир Варкрафта: Иллидан,Уильям Кинг,Del Rey Books,,2016,,,английский язык,
Q25921512,Молот Тора,Рик Риордан,Disney Publishing Worldwide,США,2016,,,американский вариант английского языка,
Q43180627,Отель Вальгалла: Путеводитель по миру Магнуса Чейза,Рик Риордан,Disney Publishing Worldwide,США,2016,,,английский язык,
Q28312300,Падение света,Стивен Эриксон,Bantam Books,США,2016,,,английский язык,
Q25438763,Спрятанный оракул,Рик Риордан,Disney Publishing Worldwide,США,2016,,,английский язык,
Q30641788,Факел в ночи,Sabaa Tahir,Penguin Group,Великобритания,2016,,,английский язык,
Q106546301,Q106546301,Sara Mesa,Editorial Anagrama,Испания,2015,,,,
Q21189994,Q21189994,Luca Enoch,Arnoldo Mondadori Editore,Италия,2015,,308,итальянский язык,
Q103970219,Dragonvein Book One,Brian D. Anderson,Brian D. Anderson,,2015,,308,английский язык,
Q104007455,Dragonvein Book Three,Brian D. Anderson,Brian D. Anderson,,2015,,,английский язык,
Q104007231,Dragonvein Book Two,Brian D. Anderson,Brian D. Anderson,,2015,,346,английский язык,
Q62422071,Indigo,Eva Aguilar,Q62423706,Испания,2015,,692,испанский язык,
Q133187398,Madness in solidar,Лиланд Экстон Модезитт,Tor Books,США,2015,,608,английский язык,
Q93589186,Penric's Demon,Лоис Макмастер Буджолд,Subterranean Press,США,2015,,,английский язык,
Q20967683,Red Queen,Victoria Aveyard,HarperCollins,США,2015,,,английский язык,
Q30632891,Secret of the Forbidden City,Джеймс Паттерсон,"Little, Brown and Company",США,2015,,,английский язык,
Q21162253,Signal to Noise,Silvia Moreno-Garcia,Solaris Books,Великобритания,2015,,,английский язык,
Q42186419,Slade House,Дэвид Митчелл,Random House,США,2015,,,английский язык,
Q106571679,Star Wars: Before the Awakening,Грег Рука,Disney Editions,США,2015,,240,английский язык,
Q106571679,Star Wars: Before the Awakening,Грег Рука,Pocket Jeunesse,,2015,,240,английский язык,
Q27890283,The Devourers,Indrapramit Das,Penguin Books,Великобритания,2015,,,английский язык,
Q22678083,The Immortal Nicholas,Гленн Бек,Blaze Media,США,2015,,,английский язык,
Q19364466,The Just City,Джо Уолтон,Tor Books,США,2015,,,английский язык,
Q21733294,The Philosopher Kings,Джо Уолтон,Tor Books,США,2015,,,английский язык,
Q105083362,The Scorpions Rules,Erin Bow,Margaret K. McElderry Books,,2015,,,,
Q21203459,The Tournament at Gorlan,Джон Флэнеган,Random House,США,2015,,,английский язык,
Q54019771,Vision in Silver,Anne Bishop,Roc Books,США,2015,,,английский язык,
Q21203529,Welcome to Night Vale,Joseph Fink,Harper Perennial,США,2015,,,английский язык,
Q21203529,Welcome to Night Vale,Jeffrey Cranor,Harper Perennial,США,2015,,,английский язык,
Q7762425,Алые песнопения,Клайв Баркер,St. Martin's Press,США,2015,,,британский вариант английского языка,
Q23763106,Воздушная гавань,Джим Батчер,Penguin Books,Великобритания,2015,,,английский язык,
Q22162553,Гарри Поттер и методы рационального мышления,Элиезер Юдковский,Less Wrong,,2015,,2184,английский язык,
Q20647835,История Куллерво,Джон Рональд Руэл Толкин,HarperCollins,США,2015,,,английский язык,
Q18209885,Кровавая осень,Brian McClellan,Orbit Books,,2015,,,английский язык,
Q102948197,Медсестра‑заклинательница,Chung Serang,Minumsa,,2015,,,корейский язык,
Q18393840,Меч Лета,Рик Риордан,Disney Publishing Worldwide,США,2015,,,американский вариант английского языка,
Q42395182,Память всех слов,Роберт М. Вегнер,Powergraph,Польша,2015,,,польский язык,
Q107311737,Полвойны,Джо Аберкромби,Del Rey Books,,2015,,,английский язык,
Q107311737,Полвойны,Джо Аберкромби,HarperVoyager,,2015,,,английский язык,
Q107311735,Полмира,Джо Аберкромби,Del Rey Books,,2015,,,английский язык,
Q107311735,Полмира,Джо Аберкромби,HarperVoyager,,2015,,,английский язык,
Q76631756,Последний альбом,Элизабет Хэнд,Open Road Integrated Media,США,2015,,,английский язык,
Q23763141,Самая тёмная чаща,Холли Блэк,"Little, Brown and Company",США,2015,,,английский язык,
Q19264047,Сердце войны,Терри Гудкайнд,Tor Books,США,2015,,,американский вариант английского языка,
Q18758175,Серебряная кровь,Rachel Hartman,Random House,США,2015,,,английский язык,
Q20647294,Странствия Шута,Робин Хобб,Del Rey Books,,2015,,,американский вариант английского языка,
Q16387049,Тени истины,Брендон Сандерсон,Tor Books,США,2015,,383,английский язык,
Q20647389,"Тот, кто спасёт",Салли Грин,Puffin Books,Великобритания,2015,,,английский язык,
Q20967566,Уголёк в пепле,Sabaa Tahir,Penguin Group,Великобритания,2015,,,английский язык,
Q20992497,Чаща,Наоми Новик,Del Rey Books,,2015,,448,американский вариант английского языка,
Q20992497,Чаща,Наоми Новик,Del Rey Books,,2015,,448,английский язык,
Q23763076,Шестёрка воронов,Ли Бардуго,Henry Holt and Company,США,2015,,,английский язык,
Q18059947,Q18059947,Johan Vandevelde,Abimo,,2014,,434,нидерландский язык,
Q17152114,Blood Red,Mercedes Lackey,DAW Books,США,2014,,,английский язык,
Q24521501,Boys of Blur,N. D. Wilson,Random House,США,2014,,,английский язык,
Q24037125,Dreams of Gods and Monsters,Лэйни Тейлор,"Little, Brown and Company",США,2014,,,английский язык,
Q39058083,Ophelia and the Marvelous Boy,Karen Foxlee,Alfred A. Knopf,США,2014,,,английский язык,
Q19364475,Scorpion Mountain,Джон Флэнеган,Random House,США,2014,,,английский язык,
Q18166663,Slaves of Socorro,Джон Флэнеган,Random House,США,2014,,,английский язык,
Q18786497,The Back of the Turtle,Томас Кинг,Doubleday Canada,,2014,,,английский язык,
Q123521823,The Brightest Night,Туи Сазерленд,Scholastic Corporation,США,2014,,,английский язык,
Q18786508,The Broken Eye,Брент Уикс,Orbit Books,,2014,,,английский язык,
Q105083473,The Night Gardener,Jonathan Auxier,Abrams Books,США,2014,,,,
Q28061034,The Swinery of Butterflies,Marcin Szczygielski,Instytut Wydawniczy Latarnik,,2014,,,польский язык,
Q14981095,Transformers: Retribution,David J. Williams,Del Rey Books,,2014,,,английский язык,
Q56046005,Город лестниц,Роберт Джексон Беннетт,Broadway Books,США,2014,,,английский язык,
Q14554857,Город небесного огня,Кассандра Клэр,Simon & Schuster,США,2014,,,английский язык,
Q18209186,Земля волшебника,Лев Гроссман,Viking Press,США,2014,,,английский язык,
Q20925620,Книга жизни,Дебора Харкнесс,Penguin Books,Великобритания,2014,,,английский язык,
Q17017437,Кровавый поход,Brian McClellan,Orbit Books,,2014,,,английский язык,
Q18786701,Кровные узы. Серебряные тени,Райчел Мид,Penguin Group,Великобритания,2014,,,английский язык,
Q17985964,Кровь Олимпа,Рик Риордан,Hyperion Books,США,2014,,,американский вариант английского языка,
Q18786788,Мир льда и пламени,Линда Антонссон,Bantam Books,США,2014,,326,английский язык,
Q18786788,Мир льда и пламени,Элио Гарсиа,Bantam Books,США,2014,,326,английский язык,
Q18786788,Мир льда и пламени,Джордж Р. Р. Мартин,Bantam Books,США,2014,,326,английский язык,
Q20664281,Полкороля,Джо Аберкромби,Del Rey Books,,2014,,,английский язык,
Q20664281,Полкороля,Джо Аберкромби,HarperVoyager,,2014,,,английский язык,
Q17027987,Принц-разбойник,Джордж Р. Р. Мартин,Bantam Spectra,США,2014,,,английский язык,
Q18155148,Разлучённые души,Терри Гудкайнд,Tor Books,США,2014,,,американский вариант английского языка,
Q8034469,Слова сияния,Брендон Сандерсон,Tor Books,США,2014,,,английский язык,
Q20751961,Спокойное достоинство безмолвия,Патрик Ротфусс,DAW Books,США,2014,,,английский язык,
Q16915880,"Тот, кто убьёт",Салли Грин,Puffin Books,Великобритания,2014,,,английский язык,
Q16915880,"Тот, кто убьёт",Салли Грин,Viking Press,США,2014,,,английский язык,
Q18786549,Убийца Шута,Робин Хобб,Del Rey Books,,2014,,,американский вариант английского языка,
Q19364464,Ястреб,Стивен Браст,Tor Books,США,2014,,,английский язык,
Q131743723,Q131743723,Личия Троиси,Arnoldo Mondadori Editore,Италия,2013,,,итальянский язык,
Q20545178,Q20545178,Manuel Gago Mariño,Edicións Xerais de Galicia,Испания,2013,,152,галисийский язык,
Q16209219,Blood of Tyrants,Наоми Новик,Del Rey Books,,2013,,,американский вариант английского языка,
Q16843305,Bloodfire Quest,Терренс Дин Брукс,Del Rey Books,,2013,,,английский язык,
Q105955818,Curse of the Dream Witch,Аллан Стрэттон,Scholastic Corporation,США,2013,,,,
Q28060958,Czarownica piętro niżej,Marcin Szczygielski,Instytut Wydawniczy Latarnik,,2013,,,польский язык,
Q16385565,Echoes of the Goddess,Даррелл Швейцер,Wildside Press,США,2013,,,английский язык,
Q16256097,Jimmy and the Crawler,Раймонд Фэйст,HarperCollins,США,2013,,,английский язык,
Q30678307,Pantomime,L. R. Lam,Angry Robot,Великобритания,2013,,,английский язык,
Q19947404,Tales of Majipoor,Роберт Силверберг,Victor Gollancz,Великобритания,2013,,,американский вариант английского языка,
Q19881261,The Black Irix,Терренс Дин Брукс,Del Rey Books,,2013,,,английский язык,
Q7721225,The Canticle of Whispers,David Whitley,Puffin Books,Великобритания,2013,,,английский язык,
Q16385593,The Emperor of the Ancient Word and Other Fantastic Stories,Даррелл Швейцер,Borgo Press,США,2013,,,английский язык,
Q107210718,The Ghost Bride,Yangsze Choo,William Morrow and Company,США,2013,,,,
Q20926183,The Goblin Master's Grimoire,Jim C. Hines,ISFiC Press,,2013,,,английский язык,
Q123550891,The Hidden Kingdom,Туи Сазерленд,Scholastic Corporation,США,2013,,,английский язык,
Q123550873,The Lost Heir,Туи Сазерленд,Scholastic Corporation,США,2013,,,английский язык,
Q15989239,The Royal Ranger: A New Beginning,Джон Флэнеган,Random House,США,2013,,,английский язык,
